会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
70677989,PPE,越南电力油气咨询工程公司,出售,24234,4.02,97420.68,974.21,交易锁定,"2016-07-01 10:01:12"
84261308,PPE,越南电力油气咨询工程公司,出售,31625,4.02,127132.50,1271.33,交易锁定,"2016-07-01 10:01:11"
96649337,PPE,越南电力油气咨询工程公司,出售,45875,4.02,184417.50,1844.18,交易锁定,"2016-07-01 10:01:11"
YT1699,PPE,越南电力油气咨询工程公司,购买,20640,4.02,82972.80,0.00,交易锁定,"2016-07-01 10:01:09"
009009366,PPE,越南电力油气咨询工程公司,出售,9541,4.02,38354.82,383.55,交易锁定,"2016-07-01 10:01:06"
12812899,PPE,越南电力油气咨询工程公司,出售,1000,4.02,4020.00,40.20,交易锁定,"2016-07-01 10:01:05"
563,PPE,越南电力油气咨询工程公司,出售,21991,4.02,88403.82,884.04,交易锁定,"2016-07-01 10:01:04"
96456223,PPE,越南电力油气咨询工程公司,出售,27435,4.02,110288.70,1102.89,交易锁定,"2016-07-01 10:01:01"
WHL1980,PPE,越南电力油气咨询工程公司,购买,12998,4.02,52251.96,0.00,交易锁定,"2016-07-01 10:00:58"
009009111,PPE,越南电力油气咨询工程公司,出售,16554,4.02,66547.08,665.47,交易锁定,"2016-07-01 10:00:58"
00900955,PPE,越南电力油气咨询工程公司,出售,30424,4.02,122304.48,1223.04,交易锁定,"2016-07-01 10:00:55"
009009138,PPE,越南电力油气咨询工程公司,出售,115280,4.02,463425.60,4634.26,交易锁定,"2016-07-01 10:00:54"
00900905,PPE,越南电力油气咨询工程公司,出售,227000,4.02,912540.00,9125.40,交易锁定,"2016-07-01 10:00:53"
HUANG168,PPE,越南电力油气咨询工程公司,出售,26948,4.02,108330.96,1083.31,交易锁定,"2016-07-01 10:00:45"
70677988,PPE,越南电力油气咨询工程公司,出售,37926,4.02,152462.52,1524.63,交易锁定,"2016-07-01 10:00:43"
009009008,PPE,越南电力油气咨询工程公司,出售,521962,4.02,2098287.24,20982.87,交易锁定,"2016-07-01 10:00:42"
18818899,PPE,越南电力油气咨询工程公司,出售,18127,4.02,72870.54,728.71,交易锁定,"2016-07-01 10:00:38"
GQ001,PPE,越南电力油气咨询工程公司,出售,200000,4.02,804000.00,8040.00,交易锁定,"2016-07-01 10:00:38"
00900900,PPE,越南电力油气咨询工程公司,出售,49511,4.02,199034.22,1990.34,交易锁定,"2016-07-01 10:00:35"
16881123,PPE,越南电力油气咨询工程公司,出售,28307,4.02,113794.14,1137.94,交易锁定,"2016-07-01 10:00:34"
LYJ123,PPE,越南电力油气咨询工程公司,出售,360159,4.02,1447839.18,14478.39,交易锁定,"2016-07-01 10:00:31"
00900966,PPE,越南电力油气咨询工程公司,出售,94506,4.02,379914.12,3799.14,交易锁定,"2016-07-01 10:00:19"
5709222,PPE,越南电力油气咨询工程公司,购买,946,4.02,3802.92,0.00,交易锁定,"2016-07-01 10:00:02"
